,Title,Release,Certificate,Runtime,IMDB Rating,Votes,Box Office Earnings,Director,Actors
14,Once Upon a Time in Hollywood,(2019),PG-13,161 min,7.6,726107,"142,502,728",Quentin Tarantino,"['Leonardo DiCaprio', 'Brad Pitt', 'Margot Robbie', 'Emile Hirsch']"
15,Avatar,(2009),PG-13,162 min,7.8,1241118,"760,507,625",James Cameron,"['Sam Worthington', 'Zoe Saldana', 'Sigourney Weaver', 'Michelle Rodriguez']"
16,The Lord of the Rings: The Return of the King,(2003),PG-13,201 min,9,1831165,7,Peter Jackson,"['Elijah Wood', 'Viggo Mortensen', 'Ian McKellen', 'Orlando Bloom']"
17,Dune,(2021),PG-13,155 min,8,621166,"108,327,830",Denis Villeneuve,"['Timothée Chalamet', 'Rebecca Ferguson', 'Zendaya', 'Oscar Isaac']"
18,Interstellar,(2014),R,169 min,8.6,1800866,26,Christopher Nolan,"['Matthew McConaughey', 'Anne Hathaway', 'Jessica Chastain', 'Mackenzie Foy']"
19,The Shining,(1980),R,146 min,8.4,1013498,61,Stanley Kubrick,"['Jack Nicholson', 'Shelley Duvall', 'Danny Lloyd', 'Scatman Crothers']"
20,Fight Club,(1999),PG-13,139 min,8.8,2101095,12,David Fincher,"['Brad Pitt', 'Edward Norton', 'Meat Loaf', 'Zach Grenier']"
21,The Dark Knight,(2008),R,152 min,9,2628595,3,Christopher Nolan,"['Christian Bale', 'Heath Ledger', 'Aaron Eckhart', 'Michael Caine']"
22,Get Out,(I) (2017),PG-13,104 min,7.7,601522,"176,040,665",Jordan Peele,"['Daniel Kaluuya', 'Allison Williams', 'Bradley Whitford', 'Catherine Keener']"
23,Rogue One: A Star Wars Story,(2016),R,133 min,7.8,631047,"532,177,324",Gareth Edwards,"['Felicity Jones', 'Diego Luna', 'Alan Tudyk', 'Donnie Yen']"
24,The Wolf of Wall Street,(2013),R,180 min,8.2,1391261,133,Martin Scorsese,"['Leonardo DiCaprio', 'Jonah Hill', 'Margot Robbie', 'Matthew McConaughey']"
25,Pulp Fiction,(1994),PG,154 min,8.9,2032939,8,Quentin Tarantino,"['John Travolta', 'Uma Thurman', 'Samuel L. Jackson', 'Bruce Willis']"
26,Ghostbusters,(1984),PG-13,105 min,7.8,414244,"238,632,124",Ivan Reitman,"['Bill Murray', 'Dan Aykroyd', 'Sigourney Weaver', 'Harold Ramis']"
27,The Lord of the Rings: The Two Towers,(2002),PG,179 min,8.8,1653458,14,Peter Jackson,"['Elijah Wood', 'Ian McKellen', 'Viggo Mortensen', 'Orlando Bloom']"
28,Back to the Future,(1985),R,116 min,8.5,1193907,30,Robert Zemeckis,"['Michael J. Fox', 'Christopher Lloyd', 'Lea Thompson', 'Crispin Glover']"
29,Joker,(I) (2019),R,122 min,8.4,1258550,71,Todd Phillips,"['Joaquin Phoenix', 'Robert De Niro', 'Zazie Beetz', 'Frances Conroy']"
30,The Silence of the Lambs,(1991),R,118 min,8.6,1420613,22,Jonathan Demme,"['Jodie Foster', 'Anthony Hopkins', 'Lawrence A. Bonney', 'Kasi Lemmons']"
31,The Gentlemen,(2019),Not Rated,113 min,7.8,335254,"36,471,795",Guy Ritchie,"['Matthew McConaughey', 'Charlie Hunnam', 'Michelle Dockery', 'Jeremy Strong']"
32,RRR,(2022),PG-13,187 min,8,113452,113452,S.S. Rajamouli,"['N.T. Rama Rao Jr.', 'Ram Charan Teja', 'Ajay Devgn', 'Alia Bhatt']"
33,Inception,(2010),PG-13,148 min,8.8,2329402,13,Christopher Nolan,"['Leonardo DiCaprio', 'Joseph Gordon-Levitt', 'Elliot Page', 'Ken Watanabe']"
34,Avengers: Endgame,(2019),R,181 min,8.4,1112715,78,Anthony Russo,"['Joe Russo', 'Robert Downey Jr.', 'Chris Evans', 'Mark Ruffalo', 'Chris Hemsworth']"
35,The Exorcist,(1973),PG-13,122 min,8.1,405874,226,William Friedkin,"['Ellen Burstyn', 'Max von Sydow', 'Linda Blair', 'Lee J. Cobb']"
36,Creed,(II) (2015),PG-13,133 min,7.6,273802,"109,767,581",Ryan Coogler,"['Michael B. Jordan', 'Sylvester Stallone', 'Tessa Thompson', 'Phylicia Rashad']"
37,The Hobbit: An Unexpected Journey,(2012),R,169 min,7.8,825358,"303,003,568",Peter Jackson,"['Martin Freeman', 'Ian McKellen', 'Richard Armitage', 'Andy Serkis']"
38,American Beauty,(1999),PG-13,122 min,8.4,1149700,66,Sam Mendes,"['Kevin Spacey', 'Annette Bening', 'Thora Birch', 'Wes Bentley']"
39,Forrest Gump,(1994),PG,142 min,8.8,2057609,11,Robert Zemeckis,"['Tom Hanks', 'Robin Wright', 'Gary Sinise', 'Sally Field']"
40,A Christmas Story,(1983),R,93 min,7.9,148058,"20,605,209",Bob Clark,"['Peter Billingsley', 'Melinda Dillon', 'Darren McGavin', 'Scott Schwartz']"
41,The Thing,(1982),PG-13,109 min,8.2,422934,155,John Carpenter,"['Kurt Russell', 'Wilford Brimley', 'Keith David', 'Richard Masur']"
42,Titanic,(1997),R,194 min,7.9,1164233,"659,325,379",James Cameron,"['Leonardo DiCaprio', 'Kate Winslet', 'Billy Zane', 'Kathy Bates']"
43,Blade Runner 2049,(2017),R,164 min,8,565245,"92,054,159",Denis Villeneuve,"['Harrison Ford', 'Ryan Gosling', 'Ana de Armas', 'Dave Bautista']"
44,Se7en,(1995),R,127 min,8.6,1636157,19,David Fincher,"['Morgan Freeman', 'Brad Pitt', 'Kevin Spacey', 'Andrew Kevin Walker']"
45,In Bruges,(2008),PG-13,107 min,7.9,424782,"7,757,130",Martin McDonagh,"['Colin Farrell', 'Brendan Gleeson', 'Ciarán Hinds', 'Elizabeth Berrington']"
46,Edward Scissorhands,(1990),R,105 min,7.9,489653,"56,362,352",Tim Burton,"['Johnny Depp', 'Winona Ryder', 'Dianne Wiest', 'Anthony Michael Hall']"
47,Whiplash,(2014),R,106 min,8.5,847820,42,Damien Chazelle,"['Miles Teller', 'J.K. Simmons', 'Melissa Benoist', 'Paul Reiser']"
48,Prisoners,(2013),PG-13,153 min,8.1,704898,171,Denis Villeneuve,"['Hugh Jackman', 'Jake Gyllenhaal', 'Viola Davis', 'Melissa Leo']"
49,Thirteen Lives,(2022),R,147 min,7.8,47973,47973,Ron Howard,"['Viggo Mortensen', 'Colin Farrell', 'Joel Edgerton', 'Tom Bateman']"
50,Gladiator,(2000),R,155 min,8.5,1488658,37,Ridley Scott,"['Russell Crowe', 'Joaquin Phoenix', 'Connie Nielsen', 'Oliver Reed']"
51,Her,(2013),PG-13,126 min,8,609636,"25,568,251",Spike Jonze,"['Joaquin Phoenix', 'Amy Adams', 'Scarlett Johansson', 'Rooney Mara']"
52,Harry Potter and the Goblet of Fire,(2005),R,157 min,7.7,622478,"290,013,036",Mike Newell,"['Daniel Radcliffe', 'Emma Watson', 'Rupert Grint', 'Eric Sykes']"
53,Scarface,(1983),R,170 min,8.3,834887,107,Brian De Palma,"['Al Pacino', 'Michelle Pfeiffer', 'Steven Bauer', 'Mary Elizabeth Mastrantonio']"
54,A Clockwork Orange,(1971),R,136 min,8.3,825946,102,Stanley Kubrick,"['Malcolm McDowell', 'Patrick Magee', 'Michael Bates', 'Warren Clarke']"
55,Shutter Island,(2010),PG-13,138 min,8.2,1299667,146,Martin Scorsese,"['Leonardo DiCaprio', 'Emily Mortimer', 'Mark Ruffalo', 'Ben Kingsley']"
56,Jurassic Park,(1993),R,127 min,8.2,982579,148,Steven Spielberg,"['Sam Neill', 'Laura Dern', 'Jeff Goldblum', 'Richard Attenborough']"
57,Alien,(1979),R,117 min,8.5,876523,50,Ridley Scott,"['Sigourney Weaver', 'Tom Skerritt', 'John Hurt', 'Veronica Cartwright']"
58,Inglourious Basterds,(2009),R,153 min,8.3,1434789,73,Quentin Tarantino,"['Brad Pitt', 'Diane Kruger', 'Eli Roth', 'Mélanie Laurent']"
59,Sita Ramam,(2022),PG-13,163 min,8.5,40377,40377,Hanu Raghavapudi,"['Dulquer Salmaan', 'Mrunal Thakur', 'Rashmika Mandanna', 'Sumanth']"
60,Schindler's List,(1993),PG,195 min,9,1345503,6,Steven Spielberg,"['Liam Neeson', 'Ralph Fiennes', 'Ben Kingsley', 'Caroline Goodall']"
61,Harry Potter and the Deathly Hallows: Part 2,(2011),R,130 min,8.1,869240,183,David Yates,"['Daniel Radcliffe', 'Emma Watson', 'Rupert Grint', 'Michael Gambon']"
62,Coraline,(2009),R,100 min,7.7,228772,"75,286,229",Henry Selick,"['Dakota Fanning', 'Teri Hatcher', 'John Hodgman', 'Jennifer Saunders']"
63,Deadpool,(2016),R,108 min,8,1029044,"363,070,709",Tim Miller,"['Ryan Reynolds', 'Morena Baccarin', 'T.J. Miller', 'Ed Skrein']"
64,Léon: The Professional,(1994),R,110 min,8.5,1152713,35,Luc Besson,"['Jean Reno', 'Gary Oldman', 'Natalie Portman', 'Danny Aiello']"
65,Psycho,(1960),R,109 min,8.5,668446,32,Alfred Hitchcock,"['Anthony Perkins', 'Janet Leigh', 'Vera Miles', 'John Gavin']"
